357,229,81,1254348000000
633,1241,432,1304604465937
898,67,352,1183240800000
940,599,73,1191189600000
1057,792,734,1204326000000
1929,956,386,1180648800000
2019,18664,10304,1246399200000
1249,2708,309,1254348000000
743,8283,3048,1214863200000
1535,15451,39,1225494000000
214,2081,18,1291158000000
1215,15533,201,1172703600000
387,1402,102,1267398000000
196,1239,210,1207000800000
1355,190,8872,1209592800000
387,2175,625,1235862000000
1832,1098,14,1270072800000
859,605,352,1272664800000
297,1090,24,1138748400000
1573,1764,693,1233442800000
1989,18033,854,1272664800000
680,325,654,1254348000000
753,4351,24,1288566000000
1060,5966,81,1214863200000
1860,2343,72,1272664800000
1020,475,103,1283292000000
1007,5123,1348,1298934000000
1461,157,39,1254348000000
494,293,24,1280613600000
321,724,2770,1267398000000
1730,292,167,1220220000000
297,7904,130,1264978800000
1209,3436,511,1212271200000
2096,706,72,1280613600000
1852,14925,11359,1285884000000
47,253,25,1280613600000
1623,751,87,1196463600000
1239,1418,87,1207000800000
779,1834,625,1267398000000
12,521,196,1275343200000
1565,418,3457,1143842400000
1316,906,8516,1230764400000
1832,959,799,1262300400000
1777,13190,17,1277935200000
1191,3145,311,1207000800000
1249,892,216,1251756000000
387,6387,3178,1259622000000
743,3063,308,1209592800000
1712,1812,73,1196463600000
1058,1045,73,1246399200000
720,562,73,1304605859232
1342,206,46,1222812000000
1700,2167,185,1293836400000
1672,126,84,1257030000000
545,3097,78,1220220000000
224,3890,393,1151704800000
2030,11480,526,1246399200000
1672,1424,16,1254348000000
177,3901,7,1157061600000
227,291,481,1288566000000
225,8302,1006,1275343200000
747,9936,178,1249077600000
405,3974,625,1296514800000
60,9336,821,1188597600000
1882,18454,754,1228086000000
1931,5950,24,1270072800000
2027,1045,1378,1251756000000
530,6949,13,1298934000000
378,2558,72,1288566000000
1172,1729,191,1254348000000
1777,13182,10969,1285884000000
1553,8264,292,1285884000000
1754,1344,91,1191189600000
1672,3700,24,1254348000000
264,2183,73,1193871600000
177,917,615,1170284400000
117,1000,18,1217541600000
1342,6176,13,1222812000000
1082,3293,1426,1204326000000
715,9513,192,1249077600000
697,5348,88,1193871600000
224,100,509,1122847200000
43,2716,187,1288566000000
2071,485,130,1280613600000
1800,15564,2925,1304935918036
43,3685,102,1288566000000
1832,5414,84,1270072800000
387,907,3184,1259622000000
372,7725,78,1267398000000
1108,12358,7285,1201820400000
2003,4108,447,1217541600000
1277,618,73,1272664800000
1038,72,74,1233442800000
736,2226,127,1220220000000
697,517,73,1191189600000
1929,3915,24,1170284400000
198,512,1,1298934000000
297,896,84,1270072800000
190,4686,1967,1296514800000
310,475,209,1272664800000
545,2905,103,1191189600000
454,1708,3651,1288566000000
492,8649,185,1233442800000
370,7140,829,1241128800000
217,10402,2139,1222812000000
614,8596,185,1188597600000
1455,67,184,1251756000000
298,3747,528,1217541600000
454,1781,187,1288566000000
61,726,181,1246399200000
1473,547,9503,1257030000000
1557,7382,18,1204326000000
1060,2572,79,1214863200000
1376,1196,378,1201820400000
264,18330,144,1209592800000
1547,1516,9827,1209592800000
1455,536,73,1230764400000
1860,13291,72,1270072800000
921,14116,181,1267398000000
545,1378,78,1220220000000
1380,472,1354,1280613600000
1962,1896,11934,1207000800000
1478,542,662,1254348000000
1267,2746,828,1246399200000
530,7827,292,1283292000000
73,91,962,1222812000000
714,4720,24,1185919200000
847,6711,5819,1267398000000
408,210,2985,1238536800000
1934,2097,706,1280613600000
1894,327,167,1214863200000
1860,2742,72,1304676518201
1934,17725,1753,1291158000000
1295,207,8392,1214863200000
1796,1246,24,1246399200000
439,6620,3549,1188597600000
1950,2435,130,1230764400000
1832,1239,213,1272664800000
171,1504,275,1293836400000
1249,6957,1076,1241128800000
1357,14071,3585,1207000800000
1774,1863,198,1196463600000
955,11346,6349,1296514800000
2071,484,306,1254348000000
177,584,625,1175378400000
785,1,2850,1280613600000
357,612,16,1275343200000
380,318,109,1159653600000
136,455,1491,1172703600000
931,826,376,1291158000000
770,310,130,1277935200000
486,157,2411,1272664800000
1021,857,181,1199142000000
1710,17432,2246,1285884000000
887,2972,387,1217541600000
1832,1424,836,1267398000000
699,1556,130,1177970400000
1249,15642,88,1249077600000
1929,18740,86,1204326000000
43,7493,47,1288566000000
908,10977,1,1185919200000
1349,1246,176,1280613600000
1757,18511,507,1283292000000
999,973,6618,1228086000000
616,4432,73,1277935200000
848,546,127,1272664800000
470,157,209,1285884000000
1061,12056,829,1246399200000
697,5028,102,1196463600000
1237,907,8032,1264978800000
21,788,355,1157061600000
1672,18188,187,1257030000000
414,283,39,1264978800000
264,9987,1357,1196463600000
1606,355,8595,1225494000000
939,1868,186,1251756000000
616,1337,617,1254348000000
931,3221,5,1288566000000
47,1934,81,1280613600000
117,2457,1352,1264978800000
1929,6680,81,1177970400000
922,170,79,1222812000000
1191,562,1228,1159653600000
1081,1515,7083,1291158000000
1198,386,778,1267398000000
1690,67,39,1235862000000
1152,11234,7517,1220220000000
1672,962,13,1254348000000
2053,824,3700,1217541600000
1650,703,81,1272664800000
1455,294,24,1267398000000
66,9253,885,1209592800000
1466,3497,234,1235862000000
1774,14286,61,1188597600000
1989,18049,1530,1275343200000
939,157,625,1257030000000
436,1873,3524,1275343200000
1495,14931,9632,1283292000000
1007,364,6304,1304700079094
1535,4255,169,1222812000000
596,877,74,1191189600000
917,487,61,1243807200000
919,65,389,1283292000000
1973,296,12022,1225494000000
1152,11483,87,1228086000000
1357,14071,8875,1214863200000
2014,2048,12208,1154383200000
64,1844,867,1185919200000
1749,683,134,1246399200000
468,889,24,1220220000000
1926,1771,127,1183240800000
1625,8823,25,1272664800000
364,10854,185,1238536800000
1380,196,185,1264978800000
950,1366,386,1267398000000
1625,6762,187,1267398000000
1832,423,662,1259622000000
692,9300,247,1285884000000
646,1456,354,1293836400000
1249,16574,18,1249077600000
1327,6073,8590,1217541600000
439,6892,3560,1230764400000
972,1385,393,1293836400000
979,1131,352,1277935200000
1177,4361,7644,1212271200000
1585,8042,185,1141167600000
1327,599,8593,1217541600000
1352,4118,830,1177970400000
1882,7759,3022,1238536800000
1865,2623,141,1228086000000
436,4311,304,1275343200000
490,464,18,1254348000000
922,13145,26,1222812000000
692,1469,4934,1280613600000
916,89,49,1243807200000
1209,14329,216,1204326000000
117,18288,352,1264978800000
1625,9356,14,1272664800000
264,6708,203,1193871600000
1433,14530,831,1183240800000
